-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2007 through 12/31/2022 in LST
Location: Latitude  -34.6059   Longitude -58.5095 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 17.05 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2007,24.81,24.6,20.64,16.88,10.26,7.59,6.36,8.0,15.32,17.47,17.49,22.64,15.95
T2M,2008,24.6,24.74,20.5,16.43,13.37,9.26,12.42,10.79,13.36,17.15,24.67,24.06,17.59
T2M,2009,25.7,24.03,22.52,18.08,14.55,9.05,7.98,12.9,12.06,15.93,20.64,21.89,17.08
T2M,2010,25.0,22.78,21.22,15.73,14.01,10.12,8.57,9.77,13.17,15.4,19.67,24.52,16.63
T2M,2011,24.75,22.95,21.17,16.99,12.7,9.25,8.09,9.9,13.9,16.04,22.18,23.15,16.72
T2M,2012,26.49,23.73,20.57,16.63,14.82,9.41,6.8,12.16,13.79,17.1,20.43,22.24,17.0
T2M,2013,24.38,23.24,18.87,16.98,12.57,9.54,9.54,9.58,12.66,17.31,19.87,26.77,16.74
T2M,2014,25.25,21.97,18.82,16.32,13.03,9.09,9.7,11.94,14.05,18.25,18.9,21.98,16.59
T2M,2015,23.12,23.77,22.39,19.4,15.13,10.92,10.31,12.99,12.64,14.61,19.22,23.9,17.33
T2M,2016,25.87,25.21,20.3,16.25,11.35,8.05,9.15,11.31,12.67,16.24,19.81,24.22,16.68
T2M,2017,24.83,23.95,21.24,16.96,14.06,11.6,11.13,12.94,14.1,15.99,18.7,23.67,17.4
T2M,2018,25.3,24.78,21.42,20.38,14.65,8.56,8.91,9.85,15.57,16.02,19.8,21.26,17.16
T2M,2019,23.84,22.85,19.61,17.52,13.65,12.14,9.23,10.38,12.66,16.07,21.05,22.96,16.79
T2M,2020,23.85,23.85,23.22,16.78,13.23,11.06,8.36,12.1,12.86,16.37,21.38,23.57,17.2
T2M,2021,25.2,22.51,21.66,19.1,12.15,9.78,9.68,10.98,14.29,17.64,21.31,25.08,17.42
T2M,2022,26.37,22.53,19.38,16.39,11.58,7.88,10.59,11.35,14.05,17.3,23.56,25.45,17.18
