BAS,CEN,COM,CUY,GBA,LIT,NEA,NOA
1.394,1.004,540,915,4.410,1.355,1.018,1.061
1.359,977,523,899,4.308,1.335,1.019,1.054
1.298,952,503,885,4.154,1.318,1.019,1.047
1.243,920,481,876,3.982,1.299,1.005,1.028
1.203,896,468,867,3.840,1.277,983,1.008
1.122,871,452,856,3.623,1.215,941,988
1.041,767,389,805,3.368,1.080,863,922
1.039,746,391,769,3.400,1.090,881,858
1.077,766,399,794,3.547,1.132,893,874
1.135,805,416,830,3.777,1.189,907,916
1.205,862,458,864,4.056,1.269,966,965
1.287,924,502,896,4.377,1.347,1.021,1.019
1.365,988,543,933,4.733,1.422,1.083,1.084
1.408,1.037,569,973,5.020,1.483,1.199,1.143
1.444,1.065,584,1.022,5.207,1.554,1.292,1.202
1.463,1.102,596,1.047,5.399,1.642,1.382,1.264
1.483,1.141,609,1.056,5.548,1.692,1.414,1.322
1.498,1.153,608,1.049,5.611,1.680,1.355,1.326
1.504,1.138,601,1.027,5.606,1.614,1.233,1.280
1.520,1.109,587,983,5.524,1.554,1.160,1.211
1.609,1.155,575,972,5.822,1.681,1.280,1.258
1.721,1.276,630,1.049,6.166,1.818,1.354,1.339
1.682,1.272,649,1.061,6.117,1.816,1.361,1.375
1.612,1.245,629,1.086,5.909,1.831,1.360,1.406
1.555,1.196,596,1.099,5.622,1.811,1.358,1.430
1.483,1.138,561,1.075,5.302,1.726,1.305,1.419
1.423,1.079,529,1.039,4.926,1.690,1.244,1.373
1.385,1.045,509,1.007,4.702,1.627,1.190,1.321
1.353,1.023,496,980,4.537,1.609,1.139,1.281
1.294,1.006,481,963,4.326,1.517,1.088,1.242
1.268,922,429,932,4.165,1.377,1.006,1.175
1.320,926,446,911,4.344,1.489,1.021,1.115
1.423,995,471,939,4.642,1.592,1.091,1.152
1.541,1.087,529,987,4.977,1.709,1.162,1.222
1.674,1.161,579,1.029,5.458,1.805,1.195,1.274
1.785,1.225,644,1.048,5.831,1.895,1.222,1.323
1.899,1.298,707,1.066,6.254,2.022,1.350,1.414
1.984,1.342,738,1.058,6.614,2.136,1.533,1.527
1.994,1.370,750,1.012,6.857,2.250,1.672,1.661
2.030,1.405,740,999,6.958,2.283,1.708,1.745
2.025,1.415,724,970,6.945,2.228,1.646,1.752
1.999,1.405,704,921,6.838,2.156,1.524,1.706
1.982,1.366,680,872,6.654,2.057,1.363,1.588
1.952,1.311,635,843,6.489,1.946,1.285,1.490
2.046,1.362,642,872,6.791,2.059,1.415,1.524
2.104,1.419,685,937,7.138,2.165,1.479,1.586
2.035,1.365,688,923,7.018,2.087,1.488,1.568
1.914,1.304,664,903,6.787,2.067,1.482,1.552
1.808,1.245,632,889,6.530,2.025,1.475,1.562
1.749,1.197,592,856,6.184,1.978,1.424,1.548
1.655,1.115,561,827,5.785,1.879,1.355,1.503
1.583,1.072,535,800,5.473,1.817,1.283,1.439
1.512,1.039,519,784,5.211,1.767,1.225,1.382
1.431,1.011,504,773,4.930,1.687,1.158,1.338
1.347,937,463,725,4.601,1.488,1.057,1.248
1.363,873,431,696,4.622,1.492,1.043,1.115
1.367,876,436,732,4.735,1.511,1.074,1.067
1.481,909,457,780,4.909,1.562,1.114,1.062
1.571,950,468,830,5.124,1.592,1.173,1.063
1.660,984,487,860,5.430,1.648,1.260,1.072
1.768,1.027,499,894,5.778,1.780,1.403,1.093
1.845,1.045,511,917,6.049,1.895,1.547,1.086
1.859,1.031,508,911,6.244,1.972,1.655,1.067
1.856,1.021,513,919,6.385,2.023,1.705,1.070
1.816,1.025,531,925,6.401,2.012,1.653,1.074
1.726,1.037,539,917,6.330,1.945,1.503,1.068
1.717,1.054,534,910,6.132,1.836,1.323,1.056
1.736,1.070,527,873,6.011,1.758,1.261,1.058
1.852,1.168,536,874,6.409,1.889,1.414,1.152
1.891,1.291,593,963,6.705,2.027,1.526,1.212
1.855,1.269,599,987,6.608,2.107,1.589,1.194
1.775,1.216,575,1.003,6.402,2.116,1.608,1.146
